Название,Адрес,Средний чек
Береке,Кобыз 50,1200 тнг
SIMPLE,Туран 55,1500 тнг
Madam Povari,Сакен Сейфуллина 31,1000 тнг
Insar,Сыганак 43,1000 тнг
Ac-Damdi,Кабанбай батыра 49,1500 тнг
Qaganat,Достык 5,1000 тнг
Пельменная,Аль-Фараби 17,1500 тнг
Плов Тандыр,Кабанбай батыра 38/1,1000 тнг
Плов Тандыр,Туран 43/3,1500 тнг
Qaganat,Тауелсиздик 8/1,1000 тнг
Simple,Улы Дала 56/2,1500 тнг
Столовая,Роза Багланова 6/4,1500 тнг
Qaganat,Республика 34а,1500 тнг
Рахат,Достык 13,1500 тнг
SIMPLE,Мангилик ел 51/2,1500 тнг
Avocado food,Кабанбай батыра 46Б,1500 тнг
Trapeza,Достык 3,1200 тнг
Damdi,Шевченко 8,1000 тнг
Argymaq,Ермек Серкебаев 4,1500 тнг
Столовая,Бауыржан Момышулы 2/5,1500 тнг
Рахат,Тарас Шевченко 6,700 тнг
Столовая,Тарас Шевченко,1200 тнг
